Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    0.875 0.875 0.875 1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   1.   1.   0.75 1.   1.   1.   1.  ],"[1.         1.         1.         0.75       0.91666667 0.75
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.85714286
 1.         1.         1.         1.        ]","[1.         1.         1.         0.85714286 1.         0.85714286
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.92307692
 1.         1.         1.         1.        ]","[1.         1.         1.         0.92307692 0.90909091 0.92307692
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.65465367
 1.         1.         1.         1.        ]","[1.         1.         1.         0.65465367 0.74535599 0.65465367
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1.    1.    0.875 1.    1.    1.    1.    1.    1.    1.   ],"[1.         1.         0.875      1.         1.         1.
 1.         1.         0.85714286 1.        ]","[1.         1.         0.875      1.         1.         1.
 1.         1.         1.         0.85714286]",[1.    1.    0.875 1.    1.    1.    1.    1.    1.    1.   ],[1.    1.    0.875 1.    1.    1.    1.    1.    1.    1.   ],"[1.         1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]",[1.   1.   0.75 1.   1.   1.   1.   1.   0.75 1.  ],"[1.         1.         0.91666667 1.         1.         1.
 1.         1.         1.         0.75      ]","[1.         1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.85714286 1.         1.         1.
 1.         1.         0.83333333 1.        ]","[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.83333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.90909091 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.92307692 1.         1.         1.
 1.         1.         0.90909091 1.        ]","[1.         1.         0.90909091 1.         1.         1.
 1.         1.         1.         0.90909091]","[1.         1.         0.90909091 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.90909091 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.74535599 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.65465367 1.         1.         1.
 1.         1.         0.64549722 1.        ]","[1.         1.         0.74535599 1.         1.         1.
 1.         1.         1.         0.64549722]","[1.         1.         0.74535599 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         1.         0.74535599 1.         1.         1.
 1.         1.         1.         1.        ]"
[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.75
 1.         1.         0.85714286 1.        ]",[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.66666667
 1.         1.         0.9        1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         0.8        1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         0.88888889 1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.33333333
 1.         1.         0.73029674 1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],"[1.         0.875      1.         1.         1.         1.
 0.875      1.         1.         0.85714286]","[1.         1.         1.         1.         0.625      1.
 1.         1.         1.         0.85714286]",[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],"[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]",[1.   0.75 1.   1.   1.   1.   0.75 1.   1.   0.75],"[1.         1.         1.         1.         0.41666667 1.
 1.         1.         1.         0.75      ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.85714286 1.         1.         1.         1.
 0.85714286 1.         1.         0.83333333]","[1.         1.         1.         1.         0.71428571 1.
 1.         1.         1.         0.83333333]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         0.92307692 1.         1.         1.         1.
 0.92307692 1.         1.         0.90909091]","[1.         1.         1.         1.         0.76923077 1.
 1.         1.         1.         0.90909091]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         0.65465367 1.         1.         1.         1.
 0.65465367 1.         1.         0.64549722]","[ 1.          1.          1.          1.         -0.21821789  1.
  1.          1.          1.          0.64549722]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]"
[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[0.875 1.    1.    1.    0.75  1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],"[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[0.75       1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.85714286 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.66666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[0.92307692 1.         1.         1.         0.8        1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[0.91666667 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[0.65465367 1.         1.         1.         0.57735027 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]"
[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],"[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]"
[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    0.875 1.    1.    0.75  0.875 1.    1.    1.   ],"[0.875      0.875      1.         1.         1.         0.75
 1.         0.85714286 1.         1.        ]",[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],"[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         0.75       1.         1.         0.66666667
 0.75       1.         1.         1.        ]","[0.75       0.75       1.         1.         1.         0.66666667
 1.         0.91666667 1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.85714286 1.         1.         0.83333333
 0.85714286 1.         1.         1.        ]","[0.85714286 0.85714286 1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         0.83333333 1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         0.92307692 1.         1.         0.83333333
 0.92307692 1.         1.         1.        ]","[0.92307692 0.92307692 1.         1.         1.         0.83333333
 1.         0.90909091 1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         0.65465367 1.         1.         0.33333333
 0.65465367 1.         1.         1.        ]","[0.65465367 0.65465367 1.         1.         1.         0.33333333
 1.         0.64549722 1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]"
[1.    1.    1.    0.875 1.    1.    1.    1.    1.    1.   ],"[0.875      1.         0.875      0.875      0.875      1.
 1.         0.85714286 1.         1.        ]","[1.         0.875      1.         0.625      1.         0.875
 1.         1.         0.71428571 1.        ]",[1.    1.    1.    0.875 1.    1.    1.    1.    1.    1.   ],[1.    1.    1.    0.875 1.    1.    1.    1.    1.    1.   ],"[1.         1.         1.         0.91666667 1.         1.
 1.         1.         1.         1.        ]","[0.75       1.         0.75       0.91666667 0.75       1.
 1.         0.5        1.         1.        ]","[1.         0.75       1.         0.58333333 1.         0.75
 1.         1.         0.5        1.        ]","[1.         1.         1.         0.91666667 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.91666667 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.85714286 1.         0.85714286 1.         0.85714286 1.
 1.         0.85714286 1.         1.        ]","[1.         0.85714286 1.         0.8        1.         0.85714286
 1.         1.         0.71428571 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.90909091 1.         1.
 1.         1.         1.         1.        ]","[0.92307692 1.         0.92307692 0.90909091 0.92307692 1.
 1.         0.92307692 1.         1.        ]","[1.         0.92307692 1.         0.72727273 1.         0.92307692
 1.         1.         0.83333333 1.        ]","[1.         1.         1.         0.90909091 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.90909091 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.66666667 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.91666667 1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.74535599 1.         1.
 1.         1.         1.         1.        ]","[0.65465367 1.         0.65465367 0.74535599 0.65465367 1.
 1.         0.         1.         1.        ]","[1.         0.65465367 1.         0.1490712  1.         0.65465367
 1.         1.         0.         1.        ]","[1.         1.         1.         0.74535599 1.         1.
 1.         1.         1.         1.        ]","[1.         1.         1.         0.74535599 1.         1.
 1.         1.         1.         1.        ]"
[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    0.875 1.    1.    0.875 0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],"[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         0.91666667 1.         1.         0.75       0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.85714286 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         0.83333333 1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         0.90909091 1.         1.         0.92307692 0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.90909091
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.91666667
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         0.74535599 1.         1.         0.65465367 0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.74535599
 1.         1.         1.         1.        ]"
[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    0.875 1.    0.875 0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],"[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[1.         1.         0.75       1.         0.91666667 0.91666667
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.91666667 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.85714286 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 0.83333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.83333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         1.         0.92307692 1.         0.90909091 0.90909091
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.90909091 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         1.         0.65465367 1.         0.74535599 0.74535599
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.74535599 1.
 1.         1.         1.         1.        ]"
